date,internal_id,close,tradable_volume,mkt_cap,volat_21,fx_to_usd
20200812,40044631,210.3,635252,8014147028,0.018186,0.15832806
20200812,40048791,2300,1593031,22116367626,0.018772,0.013043
20200812,40060061,31.305,2880,29197751707,0.027895,1.17919939
20200812,41002414,28.4,14379,167446314,0.061868,1.17919939
20200812,41009729,153.6,882576,11765610591,0.061265,0.1118318
20200812,41010611,65,10000,208722168,0.056878,0.013043
20200813,40014265,370.8,195487,7207450058,0.020401,0.11517155
20200813,40044140,111,2990,237070344955,0.022825,1.18190038
20200813,40044631,205.8,392493,7861205563,0.017714,0.15870245
20200813,40048791,2340,1323249,22570002887,0.018994,0.01308299
20200813,40060061,32.12,1757,30026510463,0.028351,1.18190038
20200813,41002414,27.9,7818,164875103,0.061768,1.18190038
20200813,41009729,154,1199821,11873664049,0.059205,0.11256571
20200813,41010611,65,900,209362246,0.056878,0.01308299
20200814,40014265,360,399788,6983047856,0.02143,0.11493328
20200814,40044140,110.32,3306,235857197954,0.022758,1.18310012
20200814,40044631,201.8,356538,7715759512,0.018465,0.15885371
20200814,40048791,2331,978630,22520997764,0.019083,0.01310499
20200814,40060061,31.66,1062,29626535341,0.028554,1.18310012
20200814,41002414,27.4,6089,162084717,0.061841,1.18310012
20200814,41009729,155,934990,11930889230,0.059009,0.11237849
20200814,41010611,65,0,209714262,0.056878,0.01310499
20200817,40014265,357.6,286694,6940881764,0.021421,0.11500598
20200817,40044140,108.7,5539,233120486037,0.023101,1.18679994
20200817,40044631,201.6,864093,7734405450,0.017478,0.15939557
20200817,40048791,2382,978768,23013735167,0.018608,0.01310499
20200817,40060061,31.8,1840,29850601714,0.026536,1.18679994
20200817,41002414,28.75,15738,170602491,0.061723,1.18679994
20200817,41009729,154.4,983220,11928674409,0.057602,0.11279425
20200817,41010611,65,0,209714262,0.056878,0.01310499
20200818,40014265,347,535076,6767751851,0.022395,0.11556285
20200818,40044140,108.46,2456,233762100020,0.023059,1.19269972
20200818,40044631,190.45,1074166,7342329726,0.021791,0.16017427
20200818,40048791,2398,849909,23382264962,0.018604,0.01322601
20200818,40060061,31.835,1583,30032011964,0.026493,1.19269972
20200818,41002414,28.15,13758,167872486,0.062141,1.19269972
20200818,41009729,158.4,818660,12261911204,0.027661,0.11301734
20200818,41010611,65,0,211650847,0.056878,0.01322601
20200819,40014265,349.1,441022,6804148848,0.021602,0.11548544
20200819,40044140,108.52,9065,233303174084,0.02247,1.18970005
20200819,40044631,189.8,638581,7299148974,0.021752,0.15977759
20200819,40048791,2388,1309985,23219590450,0.018737,0.01318899
20200819,40060061,32.895,2069,30953932207,0.027041,1.18970005
20200819,41002414,27.4,6357,162988907,0.062648,1.18970005
20200819,41009729,159,769594,12302240225,0.027445,0.11296116
20200819,41010611,65,0,211058499,0.056878,0.01318899
20200820,40014265,361.4,325501,7005051426,0.022765,0.1148488
20200820,40044140,108.04,3490,231568446831,0.022519,1.18610033
20200820,40044631,186.05,528627,7133279992,0.022117,0.15929401
20200820,40048791,2418,1136342,23520227842,0.01836,0.013194
20200820,40060061,32.67,2240,30649191014,0.021667,1.18610033
20200820,41002414,27.6,10554,163681845,0.061022,1.18610033
20200820,41009729,159,562653,12174344015,0.024893,0.1117868
20200820,41010611,65,0,211138698,0.056878,0.013194
20200821,40014265,359.5,207654,6891059128,0.02078,0.11357699
20200821,40044140,108.18,3276,230089422335,0.022301,1.17699955
20200821,40044631,186,357595,7077025759,0.022123,0.15808027
20200821,40048791,2428,1044826,23440286827,0.014065,0.013095
20200821,40060061,33.32,1409,31019139324,0.02022,1.17699955
20200821,41002414,27,11648,158894939,0.059834,1.17699955
20200821,41009729,160.3,953137,12129075700,0.022835,0.11046794
20200821,41010611,65,0,209554432,0.056878,0.013095
20200824,40014265,358,264334,6878478050,0.020797,0.11384465
20200824,40044140,110.62,3805,235898810502,0.02185,1.18009974
20200824,40044631,184.9,505355,7055471402,0.022112,0.15853639
20200824,40048791,2447,1724909,23587638550,0.013802,0.01307501
20200824,40060061,33.965,11946,31702885330,0.015169,1.18009974
20200824,41002414,26.45,23603,156068191,0.046642,1.18009974
20200824,41009729,160,1026747,12179433472,0.018963,0.11113457
20200824,41010611,82.5,141130,265566750,0.061837,0.01307501
20200825,40014265,356.7,314054,6862171896,0.020264,0.11398869
20200825,40044140,109.16,3541,233140530228,0.022257,1.18190038
20200825,40044631,188.7,504728,7212250040,0.022664,0.15879569
20200825,40048791,2500,1223055,24216472199,0.013904,0.013139
